Name,Manufacturer,Paddle Model,Thickness,Model #
Matthew Barlow,11SIX24,Hurache-X Power 2 Pro,16MM,W212.63-H
Meghan Dizon,Franklin,C45 Tempo 14mm,14mm,59236
Michael Loyd,Holbrook,Fuze Elongated,14MM,H.22.02
Milan Rane,Joola,Kosmos Pro V 14mm,14MM,K14G5D
Nicole Conard,Luzz,TORNAZO,16MM,TORNAZO
Noe Khlif,Joola,Perseus Pro V 16mm,16MM,P16G5D
Pablo Tellez ,Joola,Hyperion Pro V 16mm,16MM,H16G5D
Pesa Teoni,11SIX24,Vapor Power 2,16MM,W212.63-V
Parris Todd,Franklin,C45 Parris Todd Signature,13.25MM,59246C1
Rachel Rettger,Joola,Scorpeus Pro V 16mm,16MM,S16G5D
Rachel Rohrabacher,Friday,Friday Fever 102E,16MM,FL102E10
Rafa Hewett,Joola,Kosmos Pro V 16mm,16MM,K16G5D
Rafa Lenhard,Selkirk,SLK Era Power Widebody,16MM,77278257
Riley Newman,PaddleTek,PT25-2/V-1.0 16mm,16MM,PT25-2F16
Roscoe Bellamy,Luzz,PRO-CANNON,14MM,PRO-CANNON
Spartak Rahachou,Selkirk,Project Boomstik Elongated ,16MM,872278257
Tama Shimambukuro,Selkirk,Project Boomstik Elongated ,16MM,872278257
Tina Pisnik,Warping Point,Phoenix Series,13.3MM,PHX13301
Tom Protzek,11Six24,Vapor Power 2,16MM,W212.63-V
Tyler Loong,Vulcan,OO3,,003
Tyra Black,PIKKL,Hurricane Pro,14MM,HP14
Tyson McGuffin,Joola,Kosmos V,14MM,K14G5D
Will Howells,Franklin,C45 Dynasty 14MM,14MM,59231
Wyatt Stone,Warping Point,NEON,16MM,NEON1601
Zane Ford,Arronax,KVL 004,16MM,004
Zoe Weil,PIKKL,Vantage Pro,16MM,VP16
Zoey Khan,Joola,Scorpeus Pro V 14MM,14MM,S14G5D
Zoey Wang,Joola,Perseus Pro V 16mm,16MM,P16G5D
